"Date","Price","Open","High","Low","Vol.","Change %"
"02/24/2023","316.94","319.89","321.27","316.80","120.13M","-0.78%"
"02/23/2023","319.44","317.77","321.13","317.09","144.60M","1.11%"
"02/22/2023","315.94","317.94","318.74","315.83","131.26M","-1.75%"
"02/21/2023","321.56","322.16","322.88","320.02","117.78M","-0.07%"
"02/20/2023","321.79","321.07","322.97","318.15","113.03M","0.31%"
"02/17/2023","320.78","320.15","323.67","320.01","119.73M","-1.02%"
"02/16/2023","324.10","320.00","324.35","319.63","133.65M","1.92%"
"02/15/2023","317.99","324.43","324.54","317.41","136.83M","-1.69%"
"02/14/2023","323.47","324.50","325.80","322.83","103.20M","0.53%"
"02/13/2023","321.75","322.66","323.04","319.78","121.92M","-0.60%"
"02/10/2023","323.69","323.30","324.18","321.62","125.81M","-0.37%"
"02/09/2023","324.90","323.71","325.80","322.83","131.43M","-0.22%"
"02/08/2023","325.63","323.27","326.43","322.81","121.20M","1.58%"
"02/07/2023","320.55","319.36","321.45","318.20","113.21M","0.54%"
"02/06/2023","318.83","322.90","323.71","318.82","115.87M","-2.16%"
"02/03/2023","325.86","323.58","326.49","322.39","122.86M","0.60%"
"02/02/2023","323.93","325.94","326.73","321.97","152.77M","0.85%"
"02/01/2023","321.19","320.54","321.64","318.61","140.52M","1.24%"
"01/31/2023","317.26","322.71","323.26","317.09","194.66M","-1.68%"
"01/30/2023","322.67","328.09","328.97","322.35","141.80M","-1.62%"
"01/27/2023","327.98","326.22","329.71","324.98","156.16M","0.74%"
"01/26/2023","325.57","321.82","325.57","320.49","117.87M","1.50%"
"01/25/2023","320.76","320.81","321.48","319.75","97.52M","1.64%"
"01/20/2023","315.58","313.99","315.76","312.59","78.97M","0.56%"
"01/19/2023","313.81","310.08","313.81","310.04","86.25M","0.61%"
"01/18/2023","311.91","313.62","314.14","310.11","93.05M","-0.59%"
"01/17/2023","313.75","316.22","316.56","312.92","101.25M","-0.72%"
"01/16/2023","316.04","314.41","317.63","314.16","119.83M","0.72%"
"01/13/2023","313.77","312.34","315.44","311.96","128.65M","0.99%"
"01/12/2023","310.70","312.71","312.96","309.70","130.72M","0.10%"
"01/11/2023","310.38","311.66","312.57","309.10","102.60M","0.26%"
"01/10/2023","309.57","308.69","312.00","308.24","111.37M","-0.04%"
"01/09/2023","309.69","305.10","309.81","304.57","121.18M","2.71%"
"01/06/2023","301.53","296.69","303.10","296.40","121.02M","1.23%"
"01/05/2023","297.87","297.65","299.69","296.01","137.29M","0.64%"
"01/04/2023","295.98","288.34","296.70","287.94","109.95M","2.21%"
"01/03/2023","289.58","290.64","290.95","284.32","106.62M","-0.07%"
"01/02/2023","289.79","292.90","294.02","289.19","92.54M","-0.45%"
"12/29/2022","291.10","294.98","295.94","291.10","114.47M","-2.02%"
"12/28/2022","297.09","299.36","299.36","296.59","137.29M","-2.34%"
"12/27/2022","304.22","303.77","305.02","302.83","122.97M","0.65%"
"12/26/2022","302.27","301.76","302.97","300.66","78.88M","0.07%"
"12/23/2022","302.07","303.14","304.42","301.47","94.83M","-1.76%"
"12/22/2022","307.48","304.66","307.48","303.96","233.31M","1.40%"
"12/21/2022","303.23","305.84","305.99","302.92","76.96M","-0.27%"
"12/20/2022","304.05","305.65","306.58","302.96","88.75M","-0.89%"
"12/19/2022","306.77","306.33","307.99","305.19","77.96M","-0.23%"
"12/16/2022","307.48","303.48","307.48","303.09","114.65M","-0.08%"
"12/15/2022","307.73","310.73","311.98","307.73","95.26M","-1.76%"
"12/14/2022","313.23","310.87","313.41","310.57","83.85M","1.19%"
"12/13/2022","309.56","311.26","311.85","308.54","101.88M","-0.03%"
"12/12/2022","309.64","309.38","310.69","308.70","85.71M","-0.64%"
"12/09/2022","311.63","309.81","312.06","308.76","113.45M","1.10%"
"12/08/2022","308.24","308.78","309.00","306.01","121.10M","-0.01%"
"12/07/2022","308.27","309.11","310.25","308.08","92.85M","-0.60%"
"12/06/2022","310.14","310.90","313.34","309.70","100.04M","-1.20%"
"12/05/2022","313.91","316.26","317.07","312.92","113.97M","-0.35%"
"12/02/2022","315.02","320.76","320.76","315.02","114.75M","-2.17%"
"12/01/2022","322.02","325.37","325.49","321.44","130.32M","0.32%"
"11/30/2022","321.00","314.35","321.01","314.20","189.08M","1.72%"
"11/29/2022","315.58","311.79","315.74","311.07","94.42M","1.08%"
"11/28/2022","312.21","313.89","313.89","311.28","96.04M","-1.22%"
"11/25/2022","316.07","317.28","318.10","315.76","102.91M","-0.39%"
"11/24/2022","317.30","316.60","317.33","315.27","99.54M","1.02%"
"11/23/2022","314.11","314.84","315.24","312.65","148.27M","0.67%"
"11/22/2022","312.02","312.88","315.09","311.69","115.97M","-0.84%"
"11/21/2022","314.67","317.22","317.65","312.99","123.42M","-0.77%"
"11/18/2022","317.12","317.63","320.70","316.70","136.52M","0.12%"
"11/17/2022","316.75","319.98","320.35","316.75","157.36M","-1.62%"
"11/16/2022","321.96","322.98","322.98","318.02","177.08M","-0.11%"
"11/15/2022","322.31","322.76","323.03","319.96","144.81M","0.24%"
"11/14/2022","321.53","323.41","324.73","320.86","267.59M","-0.48%"
"11/11/2022","323.09","320.47","323.51","319.97","236.34M","3.84%"
"11/10/2022","311.13","312.63","314.91","311.13","149.97M","-1.30%"
"11/09/2022","315.23","313.40","316.09","312.54","162.13M","1.03%"
"11/08/2022","312.01","310.08","312.57","309.21","142.95M","1.34%"
"11/07/2022","307.87","306.08","308.15","305.05","148.87M","1.16%"
"11/04/2022","304.33","301.16","304.33","299.46","182.72M","0.89%"
"11/03/2022","301.66","298.55","303.80","297.62","179.82M","-0.73%"
"11/02/2022","303.87","302.49","305.10","302.02","192.34M","0.00%"
"11/01/2022","303.88","300.53","304.01","299.84","272.49M","1.44%"
"10/31/2022","299.58","298.61","300.05","296.45","121.05M","1.53%"
"10/28/2022","295.06","296.80","298.45","294.65","131.08M","-1.26%"
"10/27/2022","298.82","295.85","299.19","295.01","176.20M","1.69%"
"10/26/2022","293.85","292.21","295.28","291.40","122.30M","0.78%"
"10/25/2022","291.58","291.29","293.75","290.53","116.35M","0.04%"
"10/24/2022","291.47","293.60","294.24","290.52","116.18M","1.00%"
"10/21/2022","288.57","287.68","290.38","287.44","102.37M","-0.01%"
"10/20/2022","288.61","289.33","290.07","286.50","136.90M","-0.92%"
"10/19/2022","291.29","293.41","295.34","290.90","110.85M","-0.78%"
"10/18/2022","293.59","293.34","293.78","289.77","117.12M","1.39%"
"10/17/2022","289.57","285.89","290.04","284.91","111.60M","0.07%"
"10/14/2022","289.36","287.59","290.32","286.59","132.07M","2.40%"
"10/13/2022","282.57","286.27","286.36","282.57","133.29M","-1.57%"
"10/12/2022","287.09","285.23","287.52","284.32","120.86M","0.75%"
"10/11/2022","284.96","284.39","284.96","282.04","127.82M","-1.88%"
"10/07/2022","290.41","288.35","292.20","287.84","128.16M","-0.29%"
"10/06/2022","291.26","291.20","293.32","290.09","93.86M","0.76%"
"10/05/2022","289.05","293.87","294.47","287.44","138.91M","0.27%"
"10/04/2022","288.27","286.25","288.96","285.42","120.02M","2.46%"
"09/30/2022","281.36","281.75","284.35","278.39","143.74M","-0.46%"
"09/29/2022","282.65","286.60","287.81","282.56","128.43M","-0.19%"
"09/28/2022","283.19","287.66","289.75","280.80","160.84M","-2.42%"
"09/27/2022","290.20","290.27","290.75","286.76","152.31M","0.15%"
"09/26/2022","289.77","293.65","293.96","289.01","177.69M","-2.68%"
"09/23/2022","297.74","301.48","302.09","296.85","114.63M","-1.30%"
"09/22/2022","301.65","300.67","302.19","299.30","114.96M","-0.99%"
"09/21/2022","304.67","305.09","306.07","303.77","104.49M","-0.93%"
"09/20/2022","307.54","308.76","309.98","306.79","96.96M","0.34%"
"09/19/2022","306.49","309.58","309.89","305.68","101.19M","-0.71%"
"09/16/2022","308.69","308.58","309.54","307.03","135.94M","-0.62%"
"09/15/2022","310.63","313.15","313.84","310.63","111.22M","-0.67%"
"09/14/2022","312.74","310.08","313.94","309.06","118.21M","-1.83%"
"09/13/2022","318.56","313.93","319.37","313.93","150.59M","3.05%"
"09/08/2022","309.12","310.23","310.51","308.26","149.12M","0.31%"
"09/07/2022","308.16","310.86","311.10","306.69","146.29M","-1.55%"
"09/06/2022","313.01","313.36","314.97","311.69","91.54M","0.17%"
"09/05/2022","312.47","313.09","315.22","310.91","112.44M","-0.14%"
