날짜,monthth,종가
1987-10-30,21,19.96
1987-11-02,22,19.62
1987-11-03,22,19.49
1987-11-04,22,19.07
1987-11-05,22,18.98
1987-11-06,22,18.8
1987-11-09,22,18.63
1987-11-10,22,18.94
1987-11-11,22,18.9
1987-11-12,22,18.91
1987-11-13,22,18.93
1987-11-16,22,18.65
1987-11-17,22,18.4
1987-11-18,22,18.64
1987-11-19,22,18.57
1987-11-20,22,18.93
1987-11-23,22,18.78
1987-11-24,22,18.71
1987-11-25,22,18.62
1987-11-30,22,18.51
1987-12-01,23,18.46
1987-12-02,23,18.56
1987-12-03,23,18.87
1987-12-04,23,18.74
1987-12-07,23,18.25
1987-12-08,23,18.08
1987-12-09,23,18.55
1987-12-10,23,18.51
1987-12-11,23,18.31
1987-12-14,23,17.44
1987-12-15,23,16.63
1987-12-16,23,15.96
1987-12-17,23,15.84
1987-12-18,23,15.58
1987-12-21,23,15.16
1987-12-22,23,16.61
1987-12-23,23,16.64
1987-12-24,23,16.52
1987-12-28,23,16.42
1987-12-29,23,16.93
1987-12-30,23,16.89
1987-12-31,23,16.7
1988-01-04,24,17.69
1988-01-05,24,17.85
1988-01-06,24,17.82
1988-01-07,24,17.39
1988-01-08,24,17.31
1988-01-11,24,16.75
1988-01-12,24,16.63
1988-01-13,24,16.59
1988-01-14,24,17.21
1988-01-15,24,16.95
1988-01-18,24,17.33
1988-01-19,24,17.35
1988-01-20,24,17.25
1988-01-21,24,17.18
1988-01-22,24,17.01
1988-01-25,24,17.09
1988-01-26,24,17.04
1988-01-27,24,16.71
1988-01-28,24,16.96
1988-01-29,24,16.94
1988-02-01,25,16.82
1988-02-02,25,16.94
1988-02-03,25,17.14
1988-02-04,25,17.14
1988-02-05,25,17.28
1988-02-08,25,17.66
1988-02-09,25,17.42
1988-02-10,25,17.13
1988-02-11,25,17.11
1988-02-12,25,16.75
1988-02-16,25,16.67
1988-02-17,25,16.61
1988-02-18,25,16.45
1988-02-19,25,16.7
1988-02-22,25,16.62
1988-02-23,25,16.62
1988-02-24,25,16.46
1988-02-25,25,15.92
1988-02-26,25,15.78
1988-02-29,25,16.01
1988-03-01,26,15.72
1988-03-02,26,15.67
1988-03-03,26,15.5
1988-03-04,26,15.59
1988-03-07,26,15.37
1988-03-08,26,15.45
1988-03-09,26,15.49
1988-03-10,26,16.0
1988-03-11,26,16.29
1988-03-14,26,15.59
1988-03-15,26,15.68
1988-03-16,26,16.0
1988-03-17,26,16.28
1988-03-18,26,16.58
1988-03-21,26,16.49
1988-03-22,26,16.09
1988-03-23,26,16.09
1988-03-24,26,16.96
1988-03-25,26,17.03
1988-03-28,26,17.1
1988-03-29,26,16.98
1988-03-30,26,17.08
1988-03-31,26,17.08
1988-04-04,27,17.01
1988-04-05,27,16.79
1988-04-06,27,16.81
1988-04-07,27,17.06
1988-04-08,27,16.88
1988-04-11,27,17.89
1988-04-12,27,18.09
1988-04-13,27,18.12
1988-04-14,27,18.3
1988-04-15,27,18.37
1988-04-18,27,18.52
1988-04-19,27,18.03
1988-04-20,27,17.74
1988-04-21,27,17.74
1988-04-22,27,18.3
1988-04-25,27,18.4
1988-04-26,27,18.6
1988-04-27,27,18.27
1988-04-28,27,17.98
1988-04-29,27,17.99
1988-05-02,28,17.14
1988-05-03,28,17.37
1988-05-04,28,17.2
1988-05-05,28,17.39
1988-05-06,28,17.74
1988-05-09,28,17.54
1988-05-10,28,17.46
1988-05-11,28,17.49
1988-05-12,28,17.48
1988-05-13,28,17.49
1988-05-16,28,17.66
1988-05-17,28,17.76
1988-05-18,28,17.43
1988-05-19,28,17.45
1988-05-20,28,17.17
1988-05-23,28,17.17
1988-05-24,28,17.4
1988-05-25,28,17.37
1988-05-26,28,17.54
1988-05-27,28,17.43
1988-05-31,28,17.51
1988-06-01,29,17.58
1988-06-02,29,17.65
1988-06-03,29,17.5
1988-06-06,29,17.26
1988-06-07,29,17.37
1988-06-08,29,17.33
1988-06-09,29,17.07
1988-06-10,29,16.73
1988-06-13,29,16.43
1988-06-14,29,16.83
1988-06-15,29,16.53
1988-06-16,29,16.66
1988-06-17,29,16.45
1988-06-20,29,16.0
1988-06-21,29,15.89
1988-06-22,29,15.89
1988-06-23,29,16.37
1988-06-24,29,16.01
1988-06-27,29,15.86
1988-06-28,29,15.78
1988-06-29,29,15.43
1988-06-30,29,15.16
1988-07-01,30,14.94
1988-07-05,30,15.09
1988-07-06,30,15.36
1988-07-07,30,15.83
1988-07-08,30,15.46
1988-07-11,30,14.78
1988-07-12,30,14.72
1988-07-13,30,14.44
1988-07-14,30,14.76
1988-07-15,30,14.86
1988-07-18,30,15.7
1988-07-19,30,15.23
1988-07-20,30,15.66
1988-07-21,30,15.66
1988-07-22,30,16.38
1988-07-25,30,16.05
1988-07-26,30,15.96
1988-07-27,30,16.16
1988-07-28,30,16.15
1988-07-29,30,16.31
1988-08-01,31,16.08
1988-08-02,31,15.61
1988-08-03,31,15.26
1988-08-04,31,15.03
1988-08-05,31,15.26
1988-08-08,31,15.87
1988-08-09,31,15.68
1988-08-10,31,15.71
1988-08-11,31,15.76
1988-08-12,31,15.52
1988-08-15,31,15.61
1988-08-16,31,15.49
1988-08-17,31,15.47
1988-08-18,31,15.57
1988-08-19,31,15.73
1988-08-22,31,15.76
1988-08-23,31,15.76
1988-08-24,31,15.68
1988-08-25,31,15.31
1988-08-26,31,15.34
1988-08-29,31,15.22
1988-08-30,31,15.27
1988-08-31,31,15.18
1988-09-01,32,15.08
1988-09-02,32,14.79
1988-09-06,32,14.24
1988-09-07,32,14.16
1988-09-08,32,14.48
1988-09-09,32,14.18
1988-09-12,32,14.49
1988-09-13,32,14.56
1988-09-14,32,15.4
1988-09-15,32,14.9
1988-09-16,32,14.57
1988-09-19,32,14.73
1988-09-20,32,15.04
1988-09-21,32,15.02
1988-09-22,32,14.65
1988-09-23,32,14.18
1988-09-26,32,14.2
1988-09-27,32,14.14
1988-09-28,32,14.11
1988-09-29,32,13.92
1988-09-30,32,13.37
1988-10-03,33,13.06
1988-10-04,33,13.07
1988-10-05,33,12.6
1988-10-06,33,12.66
1988-10-07,33,12.94
1988-10-10,33,13.6
1988-10-11,33,13.55
1988-10-12,33,14.11
1988-10-13,33,14.21
1988-10-14,33,14.92
1988-10-17,33,15.21
1988-10-18,33,14.61
1988-10-19,33,15.4
1988-10-20,33,14.6
1988-10-21,33,14.6
1988-10-24,33,13.17
1988-10-25,33,13.26
1988-10-26,33,13.41
1988-10-27,33,13.68
1988-10-28,33,13.85
1988-10-31,33,13.58
1988-11-01,34,13.44
1988-11-02,34,13.75
1988-11-03,34,13.9
1988-11-04,34,14.04
1988-11-07,34,14.06
1988-11-08,34,13.8
1988-11-09,34,13.86
1988-11-10,34,13.98
1988-11-11,34,13.95
1988-11-14,34,14.27
1988-11-15,34,13.9
1988-11-16,34,13.67
1988-11-17,34,13.29
1988-11-18,34,13.6
1988-11-21,34,12.98
1988-11-22,34,13.86
1988-11-23,34,13.97
1988-11-28,34,15.03
1988-11-29,34,14.92
1988-11-30,34,15.32
1988-12-01,35,15.61
1988-12-02,35,15.64
1988-12-05,35,15.34
1988-12-06,35,15.46
1988-12-07,35,15.74
1988-12-08,35,15.44
1988-12-09,35,15.84
1988-12-12,35,16.06
1988-12-13,35,16.0
1988-12-14,35,16.37
1988-12-15,35,16.35
1988-12-16,35,16.72
1988-12-19,35,16.31
1988-12-20,35,17.73
1988-12-21,35,16.3
1988-12-22,35,16.49
1988-12-23,35,16.61
1988-12-27,35,16.95
1988-12-28,35,16.97
1988-12-29,35,16.77
1988-12-30,35,17.24
1989-01-03,36,17.36
1989-01-04,36,17.08
1989-01-05,36,17.42
1989-01-06,36,17.55
1989-01-09,36,17.72
1989-01-10,36,17.69
1989-01-11,36,18.14
1989-01-12,36,18.17
1989-01-13,36,18.48
1989-01-16,36,18.88
1989-01-17,36,18.95
1989-01-18,36,19.26
1989-01-19,36,19.28
1989-01-20,36,18.86
1989-01-23,36,18.86
1989-01-24,36,17.54
1989-01-25,36,18.12
1989-01-26,36,17.72
1989-01-27,36,17.74
1989-01-30,36,17.29
1989-01-31,36,17.03
1989-02-01,37,17.51
1989-02-02,37,17.73
1989-02-03,37,17.53
1989-02-06,37,17.38
1989-02-07,37,17.7
1989-02-08,37,17.49
1989-02-09,37,17.39
1989-02-10,37,17.11
1989-02-13,37,17.59
1989-02-14,37,17.42
1989-02-15,37,18.25
1989-02-16,37,18.33
1989-02-17,37,18.56
1989-02-21,37,18.59
1989-02-22,37,18.59
1989-02-23,37,17.83
1989-02-24,37,18.07
1989-02-27,37,18.14
1989-02-28,37,18.15
1989-03-01,38,18.28
1989-03-02,38,18.72
1989-03-03,38,18.56
1989-03-06,38,18.67
1989-03-07,38,18.3
1989-03-08,38,18.54
1989-03-09,38,18.52
1989-03-10,38,18.5
1989-03-13,38,19.03
1989-03-14,38,19.29
1989-03-15,38,19.77
1989-03-16,38,19.84
1989-03-17,38,20.33
1989-03-20,38,19.51
1989-03-21,38,19.51
1989-03-22,38,20.04
1989-03-23,38,20.15
1989-03-27,38,20.53
1989-03-28,38,19.91
1989-03-29,38,20.2
1989-03-30,38,20.81
1989-03-31,38,20.19
1989-04-03,39,19.95
1989-04-04,39,20.42
1989-04-05,39,19.99
1989-04-06,39,19.8
1989-04-07,39,20.02
1989-04-10,39,20.59
1989-04-11,39,20.63
1989-04-12,39,20.64
1989-04-13,39,20.29
1989-04-14,39,20.69
1989-04-17,39,21.22
1989-04-18,39,21.51
1989-04-19,39,22.61
1989-04-20,39,24.65
1989-04-21,39,24.65
1989-04-24,39,20.61
1989-04-25,39,21.41
1989-04-26,39,21.19
1989-04-27,39,20.92
1989-04-28,39,20.42
1989-05-01,40,20.66
1989-05-02,40,19.8
1989-05-03,40,20.1
1989-05-04,40,20.58
1989-05-05,40,20.02
1989-05-08,40,19.44
1989-05-09,40,19.76
1989-05-10,40,19.52
1989-05-11,40,20.06
1989-05-12,40,20.09
1989-05-15,40,20.51
1989-05-16,40,20.7
1989-05-17,40,20.13
1989-05-18,40,20.2
1989-05-19,40,20.6
1989-05-22,40,20.93
1989-05-23,40,20.93
1989-05-24,40,19.66
1989-05-25,40,19.48
1989-05-26,40,19.52
1989-05-30,40,19.95
1989-05-31,40,19.9
1989-06-01,41,19.81
1989-06-02,41,20.14
1989-06-05,41,20.52
1989-06-06,41,20.46
1989-06-07,41,19.67
1989-06-08,41,20.0
1989-06-09,41,19.88
1989-06-12,41,19.26
1989-06-13,41,19.34
1989-06-14,41,20.23
1989-06-15,41,20.57
1989-06-16,41,19.95
1989-06-19,41,20.86
1989-06-20,41,19.53
1989-06-21,41,19.53
1989-06-22,41,19.3
1989-06-23,41,19.71
1989-06-26,41,20.25
1989-06-27,41,20.48
1989-06-28,41,20.03
1989-06-29,41,20.26
1989-06-30,41,20.27
1989-07-05,42,20.79
1989-07-06,42,20.3
1989-07-07,42,20.75
1989-07-10,42,20.36
1989-07-11,42,20.53
1989-07-12,42,20.15
1989-07-13,42,20.35
1989-07-14,42,20.32
1989-07-17,42,20.45
1989-07-18,42,20.34
1989-07-19,42,19.85
1989-07-20,42,19.9
1989-07-21,42,19.51
1989-07-24,42,18.74
1989-07-25,42,18.54
1989-07-26,42,18.3
1989-07-27,42,18.12
1989-07-28,42,17.93
1989-07-31,42,18.31
1989-08-01,43,18.03
1989-08-02,43,18.28
1989-08-03,43,18.21
1989-08-04,43,18.03
1989-08-07,43,17.91
1989-08-08,43,18.12
1989-08-09,43,18.21
1989-08-10,43,18.59
1989-08-11,43,18.48
1989-08-14,43,18.58
1989-08-15,43,18.68
1989-08-16,43,18.97
1989-08-17,43,18.68
1989-08-18,43,18.8
1989-08-21,43,19.08
1989-08-22,43,19.08
1989-08-23,43,18.8
1989-08-24,43,18.61
1989-08-25,43,18.51
1989-08-28,43,18.64
1989-08-29,43,18.64
1989-08-30,43,18.83
1989-08-31,43,18.83
1989-09-01,44,18.85
1989-09-05,44,19.05
1989-09-06,44,19.28
1989-09-07,44,19.41
1989-09-08,44,19.75
1989-09-11,44,19.76
1989-09-12,44,19.7
1989-09-13,44,19.86
1989-09-14,44,19.72
1989-09-15,44,19.96
1989-09-18,44,19.88
1989-09-19,44,19.56
1989-09-20,44,19.64
1989-09-21,44,19.64
1989-09-22,44,19.28
1989-09-25,44,19.46
1989-09-26,44,19.53
1989-09-27,44,19.59
1989-09-28,44,19.86
1989-09-29,44,20.13
1989-10-02,45,20.01
1989-10-03,45,20.13
1989-10-04,45,20.15
1989-10-05,45,19.96
1989-10-06,45,19.87
1989-10-09,45,20.02
1989-10-10,45,20.17
1989-10-11,45,20.25
1989-10-12,45,20.47
1989-10-13,45,20.89
1989-10-16,45,20.59
1989-10-17,45,20.75
1989-10-18,45,20.56
1989-10-19,45,20.42
1989-10-20,45,19.98
1989-10-23,45,19.98
1989-10-24,45,19.72
1989-10-25,45,19.62
1989-10-26,45,19.38
1989-10-27,45,19.77
1989-10-30,45,19.72
1989-10-31,45,19.94
1989-11-01,46,20.07
1989-11-02,46,20.01
1989-11-03,46,20.21
1989-11-06,46,20.1
1989-11-07,46,20.02
1989-11-08,46,19.87
1989-11-09,46,19.92
1989-11-10,46,19.84
1989-11-13,46,19.59
1989-11-14,46,19.5
1989-11-15,46,19.67
1989-11-16,46,19.86
1989-11-17,46,19.91
1989-11-20,46,20.07
1989-11-21,46,19.96
1989-11-22,46,19.82
1989-11-24,46,19.82
1989-11-27,46,19.63
1989-11-28,46,19.25
1989-11-29,46,19.4
1989-11-30,46,19.89
1989-12-01,47,20.3
1989-12-04,47,20.25
1989-12-05,47,20.34
1989-12-06,47,20.47
1989-12-07,47,20.51
1989-12-08,47,20.48
1989-12-11,47,20.7
1989-12-12,47,20.65
1989-12-13,47,20.77
1989-12-14,47,20.65
1989-12-15,47,21.1
1989-12-18,47,22.22
1989-12-19,47,22.33
1989-12-20,47,21.21
1989-12-21,47,21.52
1989-12-22,47,21.29
1989-12-26,47,21.91
1989-12-27,47,21.78
1989-12-28,47,21.5
1989-12-29,47,21.82
1990-01-02,48,22.89
1990-01-03,48,23.68
1990-01-04,48,23.41
1990-01-05,48,23.08
1990-01-08,48,21.62
1990-01-09,48,22.07
1990-01-10,48,22.9
1990-01-11,48,23.14
1990-01-12,48,23.13
1990-01-15,48,22.36
1990-01-16,48,22.78
1990-01-17,48,22.1
1990-01-18,48,22.76
1990-01-19,48,23.67
1990-01-22,48,22.55
1990-01-23,48,21.6
1990-01-24,48,21.59
1990-01-25,48,22.24
1990-01-26,48,22.56
1990-01-29,48,22.8
1990-01-30,48,22.46
1990-01-31,48,22.68
1990-02-01,49,22.7
1990-02-02,49,23.02
1990-02-05,49,22.39
1990-02-06,49,22.51
1990-02-07,49,22.32
1990-02-08,49,22.09
1990-02-09,49,21.74
1990-02-12,49,22.03
1990-02-13,49,21.9
1990-02-14,49,22.07
1990-02-15,49,22.84
1990-02-16,49,22.42
1990-02-20,49,22.19
1990-02-21,49,21.74
1990-02-22,49,21.75
1990-02-23,49,21.42
1990-02-26,49,21.79
1990-02-27,49,21.58
1990-02-28,49,21.54
1990-03-01,50,21.17
1990-03-02,50,21.35
1990-03-05,50,21.58
1990-03-06,50,21.3
1990-03-07,50,20.93
1990-03-08,50,20.78
1990-03-09,50,20.43
1990-03-12,50,20.24
1990-03-13,50,20.22
1990-03-14,50,20.05
1990-03-15,50,20.38
1990-03-16,50,20.07
1990-03-19,50,19.6
1990-03-20,50,19.28
1990-03-21,50,19.96
1990-03-22,50,20.0
1990-03-23,50,20.39
1990-03-26,50,20.46
1990-03-27,50,20.48
1990-03-28,50,20.08
1990-03-29,50,20.03
1990-03-30,50,20.28
1990-04-02,51,20.48
1990-04-03,51,20.3
1990-04-04,51,19.78
1990-04-05,51,19.43
1990-04-06,51,19.15
